ID,Name,Personal Finance Group Name,Personal Finance Group ID
nzfcc_ckpyo8lga000109kw7pyhcdxw,Specialty food stores,Food,group_clasr0ysw000xhk4mf7mg2j1z
nzfcc_ckouvvypw003608mld98b9yes,Specialty retail stores (not elsewhere classified),Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvziq006z08mldbw7eyne,Sports and athletic clubs,Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckouvvyio002f08ml0kh60x4i,Sports equipment and supplies,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvyi2002b08mlh2elakks,Stationery and office supplies,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvyzv004n08mlae0hf8u1,Storage facilities,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvy84001608ml5p6z4d8j,Supermarkets and grocery stores,Food,group_clasr0ysw000xhk4mf7mg2j1z
nzfcc_ckouvvypv003508mlda344tpi,"Swimming pools, supplies, and services",Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvzbj005z08mle3z667go,Tax payments,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvyxm004c08mlexbea79o,"Taxi, rideshare, and on-demand transport services",Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvz0y004t08ml8zey1jiv,Telecommunication services,Utilities,group_clasr0ysw000vhk4m46ce9nrt
nzfcc_ckouvvz4d005808mlciyi37f8,Testing laboratories (non medical),Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvzjd007508mld8zqd622,"Theatre, concerts, and other artistic performances",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvyy9004i08mlcl4jhggy,Toll fees,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvyuv003v08ml7434fnid,Towing services,Transport,group_clasr0ysw000whk4m577xhmf3
